environment_id,encryption_code,encryption_type,file_size_kb,average_row_length_bytes,simulated_encryption_time_sec,clear_text_exposure_percent,row_count,column_count,source_file,output_file
ENV-20,2,ECC,1259.858398,428.0,0.0453255,0.0,3000,9,simulated_ENV-20.csv,ecc_encrypted_ENV-20.csv
ENV-21,2,ECC,2519.624023,428.0,0.0880861,0.0,6000,9,simulated_ENV-21.csv,ecc_encrypted_ENV-21.csv
ENV-22,2,ECC,3359.467773,428.0,0.1152802,0.0,8000,9,simulated_ENV-22.csv,ecc_encrypted_ENV-22.csv
ENV-23,2,ECC,2939.545898,428.0,0.1001892,0.0,7000,9,simulated_ENV-23.csv,ecc_encrypted_ENV-23.csv
ENV-24,2,ECC,3779.389648,428.0,0.1295539,0.0,9000,9,simulated_ENV-24.csv,ecc_encrypted_ENV-24.csv
ENV-25,2,ECC,4199.311523,428.0,0.1421902,0.0,10000,9,simulated_ENV-25.csv,ecc_encrypted_ENV-25.csv
ENV-26,3,RSA-SHE,18199.311523,3104.0,1.4940433,0.0,6000,9,simulated_ENV-26.csv,rsa_she_encrypted_ENV-26.csv
ENV-27,3,RSA-SHE,21232.514648,3104.0,1.7640617,0.0,7000,9,simulated_ENV-27.csv,rsa_she_encrypted_ENV-27.csv
ENV-28,3,RSA-SHE,24265.717773,3104.0,1.9903094,0.0,8000,9,simulated_ENV-28.csv,rsa_she_encrypted_ENV-28.csv
ENV-29,3,RSA-SHE,30332.124023,3104.0,2.4888301,0.0,10000,9,simulated_ENV-29.csv,rsa_she_encrypted_ENV-29.csv
ENV-30,3,RSA-SHE,36398.530273,3104.0,3.0279748,0.0,12000,9,simulated_ENV-30.csv,rsa_she_encrypted_ENV-30.csv
ENV-31,3,RSA-SHE,42464.936523,3104.0,3.4677355,0.0,14000,9,simulated_ENV-31.csv,rsa_she_encrypted_ENV-31.csv
ENV-32,3,RSA-SHE,48531.342773,3104.0,3.9586668,0.0,16000,9,simulated_ENV-32.csv,rsa_she_encrypted_ENV-32.csv
ENV-33,3,RSA-SHE,54597.749023,3104.0,4.4398071,0.0,18000,9,simulated_ENV-33.csv,rsa_she_encrypted_ENV-33.csv
ENV-34,3,RSA-SHE,60664.155273,3104.0,4.9213487,0.0,20000,9,simulated_ENV-34.csv,rsa_she_encrypted_ENV-34.csv
ENV-35,3,RSA-SHE,36398.530273,3104.0,2.9686379,0.0,12000,9,simulated_ENV-35.csv,rsa_she_encrypted_ENV-35.csv
ENV-36,3,RSA-SHE,24265.717773,3104.0,2.0089334,0.0,8000,9,simulated_ENV-36.csv,rsa_she_encrypted_ENV-36.csv
ENV-37,3,RSA-SHE,30332.124023,3104.0,2.4743398,0.0,10000,9,simulated_ENV-37.csv,rsa_she_encrypted_ENV-37.csv
ENV-38,3,RSA-SHE,33365.327148,3104.0,2.7177967,0.0,11000,9,simulated_ENV-38.csv,rsa_she_encrypted_ENV-38.csv
ENV-39,3,RSA-SHE,36398.530273,3104.0,2.9770706,0.0,12000,9,simulated_ENV-39.csv,rsa_she_encrypted_ENV-39.csv
ENV-40,3,RSA-SHE,39431.733398,3104.0,3.2118262,0.0,13000,9,simulated_ENV-40.csv,rsa_she_encrypted_ENV-40.csv
